epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1134.16,1.19245,1.51541,1.21122,0.53448,0.38247,0.40082,0.26837,1.27444,1.50861,1.25601,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288
2,2093.99,1.30595,1.80906,1.29121,0.52511,0.37305,0.39207,0.26082,1.28376,1.52764,1.27782,0.0196027,0.00653422,0.0196027,0.00653422,0.0196027,0.00653422,0.0196027,0.00653422
3,2987.95,1.36491,1.96702,1.33569,0.52912,0.36186,0.38209,0.25561,1.27588,1.54762,1.28353,0.0288107,0.00960357,0.0288107,0.00960357,0.0288107,0.00960357,0.0288107,0.00960357
4,3859.27,1.36173,1.96162,1.33962,0.53094,0.39136,0.40508,0.27318,1.25256,1.49448,1.27028,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4732.29,1.31729,1.85052,1.30921,0.55337,0.4001,0.42266,0.28771,1.23088,1.44414,1.25243,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5603.42,1.29465,1.78981,1.29242,0.55478,0.40969,0.43144,0.29496,1.22028,1.41916,1.24248,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6474.3,1.28083,1.75261,1.28263,0.55973,0.40982,0.43622,0.30061,1.21176,1.40501,1.23598,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7345.62,1.27084,1.72549,1.27537,0.55827,0.41621,0.44066,0.3042,1.20713,1.39714,1.23244,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,8215.15,1.26186,1.70562,1.26799,0.56316,0.41558,0.44327,0.30636,1.20341,1.39243,1.22956,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,9088.16,1.25528,1.68775,1.26359,0.56355,0.4176,0.44618,0.30829,1.19941,1.38667,1.22645,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,9957.59,1.24986,1.67604,1.25973,0.56288,0.42033,0.44861,0.3105,1.19625,1.3797,1.22401,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,10828.3,1.24475,1.66055,1.25673,0.56924,0.42259,0.45157,0.31254,1.19347,1.37229,1.22129,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,11701.4,1.24267,1.65156,1.25385,0.58208,0.41709,0.45398,0.3145,1.19118,1.36379,1.21922,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,12573.2,1.23991,1.64249,1.25069,0.58727,0.41824,0.45715,0.31662,1.18835,1.35525,1.21629,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,13444.7,1.23569,1.63367,1.24742,0.5933,0.41858,0.45903,0.31831,1.18501,1.3463,1.21317,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,14315.6,1.23196,1.62411,1.2442,0.59404,0.42042,0.4621,0.32083,1.18275,1.33861,1.21095,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,15188.1,1.22999,1.6135,1.2429,0.59333,0.42359,0.46409,0.32265,1.18077,1.33108,1.20908,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,16060.5,1.22556,1.61179,1.24199,0.60105,0.42361,0.46619,0.32411,1.17808,1.32522,1.20666,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,16932.3,1.22326,1.60591,1.23926,0.60191,0.42463,0.46765,0.32532,1.17608,1.32006,1.20438,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,17803,1.2225,1.59574,1.23815,0.60234,0.42689,0.46972,0.32677,1.17513,1.31489,1.20293,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,18674.8,1.21771,1.59025,1.23561,0.6016,0.42855,0.47102,0.32802,1.17355,1.31045,1.20118,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,19547.2,1.21485,1.58611,1.23499,0.60378,0.43066,0.47291,0.32881,1.17212,1.30689,1.19959,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,20418.9,1.21316,1.57831,1.23318,0.604,0.43152,0.47396,0.32999,1.17037,1.30383,1.19805,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,21291,1.21,1.56874,1.22934,0.60037,0.43334,0.47468,0.33059,1.1694,1.30105,1.19674,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,22162.6,1.20673,1.55957,1.22687,0.60372,0.43262,0.47577,0.33143,1.16805,1.29778,1.19523,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,23032.9,1.20531,1.55926,1.22763,0.6027,0.43539,0.4773,0.33286,1.16675,1.29412,1.19396,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,23905,1.20278,1.55123,1.22385,0.60307,0.43667,0.4787,0.33407,1.16616,1.29147,1.19322,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,24777.1,1.19914,1.54255,1.2234,0.59971,0.44111,0.48003,0.33511,1.16477,1.28856,1.19182,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,25648.1,1.19653,1.53558,1.21946,0.59997,0.44187,0.48091,0.33611,1.1643,1.28619,1.1908,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,26519.8,1.19527,1.53023,1.21873,0.59951,0.44351,0.48214,0.3374,1.16302,1.28407,1.18987,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,27392.1,1.18878,1.51919,1.21569,0.60254,0.4429,0.48349,0.33855,1.16173,1.28192,1.18859,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,28264.2,1.18738,1.51218,1.21326,0.60957,0.44117,0.48447,0.33981,1.15986,1.27912,1.18688,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,29135.9,1.18343,1.5052,1.21186,0.60021,0.44715,0.48596,0.34042,1.15882,1.27716,1.18569,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,30005.9,1.17956,1.49568,1.20969,0.60428,0.44668,0.48693,0.34153,1.15774,1.27528,1.18448,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,30879,1.17752,1.49073,1.20806,0.59666,0.44989,0.48808,0.34234,1.15647,1.27375,1.18326,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,31750.6,1.17381,1.48129,1.2052,0.5988,0.45018,0.48908,0.34339,1.15529,1.27236,1.18211,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,32621.8,1.17118,1.47173,1.2023,0.59955,0.45181,0.49045,0.34467,1.15446,1.27127,1.18089,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,33493.3,1.16757,1.46366,1.20024,0.60248,0.45543,0.4918,0.34544,1.15348,1.26987,1.17978,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,34365.5,1.16335,1.45375,1.19722,0.60822,0.45243,0.49266,0.34649,1.15225,1.26894,1.17863,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,35237.1,1.15781,1.44294,1.19438,0.60849,0.45692,0.49378,0.34776,1.15074,1.26755,1.1772,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,36112.7,1.19415,1.39099,1.22437,0.61097,0.45637,0.49482,0.34841,1.14929,1.26735,1.176,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,36989.1,1.1849,1.36722,1.2173,0.60965,0.45571,0.49553,0.34964,1.14769,1.26645,1.17514,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,37867.3,1.17801,1.35374,1.2137,0.60199,0.4591,0.4969,0.35102,1.14602,1.26649,1.17414,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,38746.5,1.17104,1.33656,1.20908,0.60153,0.46139,0.49855,0.35234,1.14469,1.26593,1.17312,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,39624.2,1.16338,1.31681,1.20412,0.60869,0.45955,0.49985,0.35353,1.1434,1.26476,1.17197,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,40502.9,1.1563,1.29947,1.19867,0.61211,0.45943,0.50059,0.35425,1.14213,1.2634,1.17096,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,41382.2,1.14974,1.28569,1.19415,0.61991,0.45699,0.5021,0.35549,1.14144,1.26193,1.17003,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,42261.3,1.14264,1.26807,1.18908,0.62056,0.45763,0.50349,0.35631,1.14059,1.25978,1.16887,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,43139.7,1.13551,1.25246,1.18512,0.61886,0.46115,0.50469,0.35705,1.13945,1.25756,1.16763,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,44019.6,1.12814,1.23697,1.18114,0.61685,0.46303,0.50599,0.35831,1.13846,1.25501,1.16644,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
