epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1138.5,1.24936,1.62466,1.25163,0.56937,0.41156,0.43734,0.29642,1.23835,1.42146,1.23312,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288
2,2107.76,1.22562,1.58358,1.23766,0.58007,0.4068,0.43854,0.2992,1.23602,1.41199,1.23394,0.0196027,0.00653422,0.0196027,0.00653422,0.0196027,0.00653422,0.0196027,0.00653422
3,3011.1,1.2817,1.72717,1.27338,0.56233,0.40496,0.42887,0.29038,1.23962,1.43922,1.24438,0.0288107,0.00960357,0.0288107,0.00960357,0.0288107,0.00960357,0.0288107,0.00960357
4,3893.68,1.3212,1.83309,1.30413,0.56067,0.40148,0.42681,0.29046,1.24402,1.43996,1.25131,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4773.73,1.3037,1.79574,1.29444,0.56329,0.40806,0.43375,0.29564,1.23186,1.4215,1.24484,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5654.02,1.29225,1.76691,1.28541,0.56864,0.4108,0.43854,0.30033,1.22419,1.40581,1.23851,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6534.62,1.2849,1.74809,1.28133,0.57872,0.40634,0.44069,0.30329,1.21939,1.39604,1.23532,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7415.27,1.27993,1.73121,1.27852,0.58109,0.40803,0.44344,0.30538,1.21624,1.38926,1.23301,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,8295.41,1.27355,1.7185,1.27318,0.58464,0.40915,0.44508,0.30688,1.21351,1.3851,1.23109,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,9175.73,1.269,1.70907,1.27016,0.58046,0.41266,0.4468,0.30798,1.21093,1.38133,1.22951,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,10056.5,1.2648,1.70069,1.26816,0.58682,0.41147,0.44841,0.3096,1.20935,1.37845,1.22815,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,10938.2,1.26042,1.68747,1.26556,0.58648,0.41427,0.45015,0.31102,1.20774,1.37474,1.22654,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,11820,1.26043,1.68208,1.2636,0.58283,0.41688,0.45203,0.31208,1.20592,1.37047,1.22434,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,12700.9,1.25704,1.67294,1.26107,0.58634,0.41746,0.45318,0.31289,1.20372,1.36602,1.22233,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,13580.8,1.25381,1.66722,1.25811,0.58828,0.41466,0.45348,0.31345,1.20228,1.36287,1.22135,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,14461.4,1.24981,1.65795,1.25615,0.58816,0.41529,0.45468,0.31456,1.20083,1.35965,1.22025,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,15342,1.24782,1.64999,1.25376,0.58761,0.41803,0.45617,0.31539,1.19923,1.35653,1.21879,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,16222.2,1.24486,1.64997,1.2536,0.59154,0.4206,0.45686,0.31597,1.19747,1.35262,1.21693,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,17102.4,1.24187,1.64204,1.25119,0.59367,0.4194,0.45764,0.31668,1.19614,1.34953,1.21585,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,17983.9,1.2411,1.63424,1.24919,0.60144,0.41815,0.4583,0.31724,1.19441,1.34696,1.21402,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,18864.2,1.23762,1.62986,1.24808,0.59879,0.41834,0.45943,0.31835,1.1935,1.34483,1.21288,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,19745,1.23476,1.62412,1.24679,0.59222,0.4203,0.46036,0.31942,1.19277,1.34268,1.21246,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,20626.5,1.23276,1.61831,1.24404,0.59231,0.42026,0.4612,0.32004,1.19154,1.34097,1.21124,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,21506.9,1.22975,1.60868,1.24255,0.58866,0.42446,0.46173,0.32013,1.19085,1.33907,1.21068,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,22387.5,1.22683,1.60016,1.23982,0.57969,0.42748,0.46239,0.32106,1.18998,1.3373,1.20987,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,23267.4,1.2254,1.60037,1.24014,0.58063,0.42768,0.46328,0.32145,1.18876,1.33506,1.20845,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,24147.4,1.22312,1.592,1.23753,0.58486,0.42618,0.46427,0.32218,1.18727,1.333,1.20758,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,25026.1,1.21956,1.58385,1.23595,0.5823,0.4284,0.46502,0.32325,1.18619,1.33098,1.20645,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,25906.8,1.21754,1.57722,1.23274,0.5833,0.42948,0.46584,0.32423,1.18487,1.32853,1.20468,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,26788.4,1.2156,1.57097,1.2321,0.58201,0.43338,0.46683,0.32486,1.18372,1.32585,1.20354,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,27667.6,1.20994,1.56256,1.22895,0.58341,0.43423,0.46772,0.32584,1.18233,1.32356,1.20231,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,28548.4,1.20852,1.55589,1.22693,0.58599,0.43473,0.46894,0.32661,1.18041,1.32123,1.20043,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,29428.6,1.20412,1.54859,1.22545,0.59091,0.43306,0.4702,0.3277,1.17908,1.31987,1.19936,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,30310.5,1.20055,1.53928,1.22318,0.59144,0.43512,0.47142,0.32856,1.17806,1.31782,1.19836,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,31193,1.19754,1.53351,1.22152,0.60053,0.43089,0.47237,0.32925,1.1771,1.3161,1.19749,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,32074.7,1.19509,1.52457,1.21955,0.59611,0.43521,0.4732,0.32981,1.17645,1.31403,1.19681,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,32955.6,1.19263,1.51709,1.2175,0.59647,0.43596,0.4743,0.33049,1.17555,1.31259,1.19615,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,33837.4,1.18908,1.50685,1.21406,0.59198,0.4388,0.47579,0.33154,1.1749,1.31145,1.19551,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,34718.3,1.18504,1.49915,1.2113,0.59897,0.43947,0.47724,0.33297,1.17414,1.31054,1.19452,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,35599.5,1.17977,1.48784,1.20851,0.60124,0.44034,0.47794,0.33346,1.17315,1.30894,1.19336,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,36489.3,1.21813,1.43589,1.24168,0.59923,0.44465,0.4791,0.33461,1.17175,1.30823,1.19207,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,37382.3,1.20867,1.41139,1.23481,0.6041,0.44062,0.47973,0.33533,1.16962,1.30701,1.19055,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,38271.1,1.20244,1.39804,1.22971,0.60506,0.43995,0.48103,0.33641,1.16836,1.30618,1.1897,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,39158.4,1.19446,1.38045,1.22532,0.60466,0.44243,0.48283,0.3379,1.16732,1.30482,1.18886,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,40044.7,1.18711,1.36172,1.22026,0.60689,0.44389,0.48431,0.33938,1.16647,1.30368,1.188,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,40933.1,1.17984,1.34435,1.21607,0.60436,0.4462,0.48495,0.34032,1.16544,1.30242,1.18697,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,41823,1.17426,1.33026,1.21146,0.60676,0.44564,0.48612,0.34159,1.16434,1.3004,1.1862,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,42713,1.16668,1.31383,1.20666,0.60469,0.44784,0.4872,0.34273,1.16366,1.29833,1.18512,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,43603.4,1.15971,1.29863,1.20212,0.60441,0.44889,0.48848,0.34371,1.16273,1.29598,1.18383,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,44494.2,1.15258,1.28183,1.19735,0.60364,0.44943,0.48975,0.34443,1.1622,1.2935,1.18295,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
