epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1132.11,1.16873,1.47637,1.19786,0.54854,0.38783,0.40989,0.27626,1.25156,1.48141,1.23974,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288
2,2090.4,1.29505,1.79034,1.28475,0.53342,0.37901,0.39476,0.26329,1.27275,1.52241,1.27286,0.0196027,0.00653422,0.0196027,0.00653422,0.0196027,0.00653422,0.0196027,0.00653422
3,2983.17,1.35786,1.95439,1.33153,0.53449,0.37282,0.39037,0.26244,1.2646,1.52907,1.27698,0.0288107,0.00960357,0.0288107,0.00960357,0.0288107,0.00960357,0.0288107,0.00960357
4,3853.38,1.35519,1.94776,1.33616,0.56773,0.38134,0.40809,0.27765,1.24513,1.48348,1.266,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4724.16,1.31117,1.83812,1.30591,0.57475,0.39284,0.42682,0.29216,1.22424,1.43125,1.24685,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5595.09,1.28845,1.7777,1.28784,0.55063,0.40703,0.43337,0.29828,1.21027,1.40665,1.23622,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6465.22,1.27512,1.74121,1.27891,0.56143,0.41198,0.43986,0.30404,1.20215,1.39261,1.23015,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7336.25,1.26501,1.71283,1.27057,0.56956,0.41395,0.44444,0.3077,1.19652,1.38356,1.2251,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,8206.77,1.25575,1.69262,1.26336,0.57818,0.41385,0.44728,0.31013,1.19366,1.37773,1.22219,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,9077.5,1.24981,1.67713,1.26055,0.58729,0.41373,0.4507,0.31266,1.19058,1.37144,1.22003,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,9947.49,1.24385,1.66423,1.25513,0.59193,0.41614,0.45335,0.31488,1.18739,1.36507,1.2173,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,10819.6,1.23965,1.64791,1.25305,0.58572,0.4213,0.45609,0.31745,1.18453,1.35749,1.21484,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,11690.5,1.23603,1.64128,1.25,0.60347,0.41603,0.45866,0.31934,1.18207,1.35005,1.21244,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,12561,1.2339,1.62982,1.24651,0.59887,0.42081,0.46116,0.32168,1.1786,1.34231,1.2094,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,13431.7,1.22984,1.62187,1.24322,0.59436,0.42439,0.46375,0.32363,1.17661,1.33484,1.20685,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,14302,1.2259,1.61187,1.24057,0.59871,0.42575,0.4658,0.32535,1.17429,1.32669,1.20441,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,15172.6,1.22332,1.60255,1.23823,0.60697,0.42443,0.46772,0.327,1.17184,1.31879,1.20222,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,16042.3,1.21961,1.59942,1.23799,0.60135,0.42874,0.46943,0.32851,1.17015,1.31245,1.20059,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,16914.5,1.21816,1.59259,1.2355,0.59912,0.43167,0.4717,0.33038,1.16826,1.3076,1.1988,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,17787.4,1.21571,1.58394,1.23283,0.60092,0.43291,0.47378,0.33179,1.16764,1.30274,1.19741,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,18658.8,1.21253,1.57821,1.23172,0.6008,0.43492,0.47532,0.33287,1.16658,1.29842,1.19627,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,19530.1,1.20927,1.57298,1.23019,0.60063,0.4374,0.47714,0.3343,1.1649,1.29455,1.19441,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,20401.4,1.20666,1.56605,1.22789,0.60643,0.43462,0.4791,0.33555,1.16357,1.2911,1.19322,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,21274.3,1.20438,1.55614,1.22515,0.60731,0.43616,0.48037,0.33638,1.16215,1.28759,1.19173,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,22146.5,1.20039,1.54759,1.22259,0.6036,0.4404,0.48139,0.33768,1.16084,1.28469,1.19016,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,23018,1.19918,1.54687,1.22283,0.59797,0.44496,0.48303,0.33888,1.15953,1.28132,1.18889,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,23888.8,1.19706,1.53987,1.22008,0.59882,0.44817,0.48476,0.34035,1.15768,1.27848,1.18702,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,24758.9,1.19388,1.53151,1.21878,0.6051,0.44767,0.48587,0.34122,1.15631,1.27605,1.18587,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,25631.9,1.19059,1.52391,1.21496,0.60882,0.44643,0.48729,0.34221,1.15515,1.27371,1.1847,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,26502.3,1.18878,1.51841,1.21467,0.61069,0.44637,0.4882,0.34363,1.15389,1.27078,1.18323,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
