epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3098,1.29763,2.43054,0.98869,0.74782,0.83843,0.84728,0.59532,1.28308,1.46593,0.97787,0.000413732,0.000413732,0.000413732
2,18.5614,1.27961,1.43597,1.00934,0.77791,0.94375,0.88083,0.60451,1.35606,1.24327,1.03195,0.000830196,0.000830196,0.000830196
3,26.9938,1.22956,1.32272,1.00076,0.78495,0.84548,0.91782,0.63508,1.20242,1.20957,1.00358,0.00124585,0.00124585,0.00124585
4,35.6454,1.19894,1.21023,1.00883,0.82089,0.88327,0.91264,0.64495,1.16736,1.08714,0.97519,0.00124725,0.00124725,0.00124725
5,44.008,1.20248,1.13824,1.00867,0.83455,0.90981,0.92664,0.67929,1.15977,0.94244,0.98645,0.00124512,0.00124512,0.00124512
6,52.2252,1.18215,1.02424,1.00072,0.85398,0.92241,0.94013,0.67192,1.22375,0.87979,1.01224,0.00124238,0.00124238,0.00124238
7,60.7205,1.16021,0.94749,0.9891,0.84339,0.84639,0.87556,0.63043,1.14731,1.11382,0.99414,0.00123904,0.00123904,0.00123904
8,69.0711,1.14487,0.91402,0.9803,0.84743,0.88985,0.92166,0.67826,1.18447,0.95155,1.01943,0.0012351,0.0012351,0.0012351
9,77.5522,1.13148,0.88477,0.98051,0.8967,0.9257,0.95745,0.68058,1.10126,0.74889,0.99033,0.00123056,0.00123056,0.00123056
10,86.0929,1.13257,0.84314,0.97884,0.93746,0.93204,0.95625,0.71224,1.08554,0.71264,0.96862,0.00122543,0.00122543,0.00122543
11,94.4263,1.13769,0.79406,0.98022,0.88703,0.91425,0.94676,0.7113,1.11542,0.83086,0.98771,0.00121972,0.00121972,0.00121972
12,102.742,1.12343,0.77593,0.97212,0.94393,0.91611,0.94783,0.7144,1.1574,0.737,0.99812,0.00121342,0.00121342,0.00121342
13,111.125,1.09866,0.72783,0.96082,0.93374,0.91488,0.94986,0.69127,1.18705,0.75083,1.02931,0.00120655,0.00120655,0.00120655
14,119.535,1.10997,0.71928,0.97067,0.81049,0.90816,0.90878,0.66436,1.09259,1.00576,0.98192,0.00119911,0.00119911,0.00119911
15,128.214,1.09945,0.69165,0.97214,0.96577,0.9544,0.97483,0.72978,1.11886,0.61339,0.99421,0.00119111,0.00119111,0.00119111
16,136.719,1.09037,0.73008,0.97229,0.85395,0.94258,0.95724,0.71469,1.24429,0.83285,1.05421,0.00118256,0.00118256,0.00118256
17,145.085,1.07871,0.70182,0.96383,0.9644,0.94599,0.98731,0.73355,1.21876,0.60988,1.03669,0.00117346,0.00117346,0.00117346
18,153.43,1.07876,0.66354,0.96607,0.87517,0.90399,0.94712,0.71906,1.13224,0.81515,0.99063,0.00116383,0.00116383,0.00116383
19,161.948,1.09377,0.67733,0.97225,0.94209,0.91852,0.95741,0.71521,1.15092,0.65865,1.00734,0.00115368,0.00115368,0.00115368
20,170.211,1.07414,0.6454,0.96537,0.92783,0.95884,0.97111,0.71384,1.186,0.60657,1.02093,0.00114301,0.00114301,0.00114301
21,178.366,1.09693,0.6411,0.98093,0.93341,0.93002,0.95426,0.70153,1.18797,0.69661,1.01838,0.00113183,0.00113183,0.00113183
22,186.685,1.06644,0.61596,0.95916,0.9017,0.84366,0.92877,0.69169,1.11272,1.08132,0.99644,0.00112016,0.00112016,0.00112016
23,194.945,1.06521,0.6266,0.96828,0.94937,0.95993,0.98585,0.73664,1.20214,0.59831,1.03212,0.00110801,0.00110801,0.00110801
24,203.359,1.08069,0.62663,0.96831,0.95638,0.91876,0.97278,0.73446,1.21407,0.68154,1.03873,0.00109538,0.00109538,0.00109538
