epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8388,1.22106,2.13919,1.01486,0.74879,0.77913,0.79737,0.56197,1.08355,1.16922,1.03931,0.000369587,0.000369587,0.000369587
2,78.6727,1.19661,1.40517,1.04592,0.76027,0.84564,0.8014,0.57734,1.05551,1.02069,1.03154,0.000739739,0.000739739,0.000739739
3,116.41,1.16324,1.11702,1.05573,0.80265,0.8749,0.88236,0.63415,1.03892,0.80862,1.05462,0.00110917,0.00110917,0.00110917
4,154.346,1.13525,0.94614,1.03657,0.86194,0.84218,0.89035,0.63774,1.03909,0.74732,1.05481,0.00110856,0.00110856,0.00110856
5,192.183,1.11979,0.85439,1.04321,0.82552,0.87869,0.8442,0.59638,1.02696,0.83919,1.06898,0.00110666,0.00110666,0.00110666
6,229.405,1.11138,0.80684,1.04791,0.85211,0.89394,0.88939,0.646,1.05333,0.71544,1.07646,0.00110423,0.00110423,0.00110423
7,267.104,1.12863,0.77906,1.05662,0.83572,0.8888,0.89327,0.6403,0.98879,0.66342,1.04452,0.00110126,0.00110126,0.00110126
8,304.326,1.08058,0.73921,1.03528,0.87228,0.88971,0.91615,0.69227,0.91431,0.60325,1.02883,0.00109776,0.00109776,0.00109776
9,341.846,1.07062,0.69557,1.03666,0.86843,0.88966,0.89584,0.64314,0.98452,0.58389,1.0613,0.00109372,0.00109372,0.00109372
10,379.828,1.08353,0.68318,1.05032,0.86223,0.91074,0.91946,0.66948,0.98302,0.56965,1.06489,0.00108916,0.00108916,0.00108916
11,417.178,1.06536,0.6801,1.03567,0.89213,0.8955,0.90782,0.66795,0.98596,0.56867,1.06775,0.00108408,0.00108408,0.00108408
12,454.559,1.05476,0.65423,1.03242,0.89367,0.9329,0.94183,0.68549,0.98535,0.54492,1.05826,0.00107849,0.00107849,0.00107849
13,491.828,1.04757,0.63523,1.03641,0.82914,0.89552,0.91439,0.67583,0.9434,0.58064,1.04094,0.00107238,0.00107238,0.00107238
14,528.914,1.04118,0.62407,1.04111,0.91006,0.90551,0.92874,0.68419,0.99015,0.56242,1.06334,0.00106577,0.00106577,0.00106577
15,565.86,1.04764,0.62154,1.04276,0.90262,0.887,0.92423,0.6893,0.97544,0.57692,1.05193,0.00105866,0.00105866,0.00105866
