target,target_channels_before,parity_mode,requested_keep,actual_keep,prune_pct_requested,prune_pct_actual,params_after,saved_params,saved_params_pct,saved_mb,base_lat_mean_ms,lat_mean_ms,lat_median_ms,lat_std_ms,speedup_ratio,lat_delta_ms,base_fps_mean,fps_mean,base_map50_95,map50_95,acc_delta_abs,acc_delta_pct,base_map50,map50,status,error
model.21.cv2,256,any,256,256,0.0,0.0,3157200,0,0.0,0.0,4.438045,4.264618,4.25984,0.023196,1.040667,0.173427,225.324433,234.487596,0.371472,0.371479,6e-06,0.0017,0.521112,0.521155,ok,
model.21.cv2,256,any,230,230,10.1562,10.1562,3113468,43732,1.3852,0.166824,4.438045,4.547799,4.542032,0.025235,0.975867,-0.109753,225.324433,219.886609,0.371472,0.369267,-0.002206,-0.5937,0.521112,0.519864,ok,
model.21.cv2,256,any,205,205,19.9219,19.9219,3071418,85782,2.717,0.327232,4.438045,4.417962,4.41216,0.033188,1.004546,0.020083,225.324433,226.348699,0.371472,0.365452,-0.006021,-1.6207,0.521112,0.517267,ok,
model.21.cv2,256,any,179,179,30.0781,30.0781,3027686,129514,4.1022,0.494057,4.438045,4.449652,4.438592,0.038323,0.997391,-0.011607,225.324433,224.736669,0.371472,0.355112,-0.01636,-4.4042,0.521112,0.510176,ok,
model.21.cv2,256,any,154,154,39.8438,39.8438,2985636,171564,5.4341,0.654465,4.438045,4.848134,4.841472,0.029059,0.915413,-0.410088,225.324433,206.264943,0.371472,0.34107,-0.030402,-8.1843,0.521112,0.498213,ok,
model.21.cv2,256,any,128,128,50.0,50.0,2941904,215296,6.8192,0.821289,4.438045,4.465659,4.455968,0.031157,0.993816,-0.027614,225.324433,223.931098,0.371472,0.3113,-0.060172,-16.1982,0.521112,0.470208,ok,
model.21.cv2,256,any,102,102,60.1562,60.1562,2898172,259028,8.2044,0.988113,4.438045,4.433616,4.431872,0.052532,1.000999,0.004429,225.324433,225.54952,0.371472,0.277707,-0.093765,-25.2415,0.521112,0.432826,ok,
model.21.cv2,256,any,77,77,69.9219,69.9219,2856122,301078,9.5362,1.148521,4.438045,4.841443,4.826192,0.038334,0.916678,-0.403398,225.324433,206.550002,0.371472,0.248298,-0.123175,-33.1585,0.521112,0.400246,ok,
model.21.cv2,256,any,51,51,80.0781,80.0781,2812390,344810,10.9214,1.315346,4.438045,4.454026,4.441648,0.050114,0.996412,-0.015981,225.324433,224.515957,0.371472,0.216522,-0.15495,-41.7125,0.521112,0.351927,ok,
model.21.cv2,256,any,26,26,89.8438,89.8438,2770340,386860,12.2533,1.475754,4.438045,4.584545,4.57728,0.032901,0.968045,-0.1465,225.324433,218.124134,0.371472,0.205537,-0.165935,-44.6695,0.521112,0.326775,ok,
model.21.cv2,256,any,1,1,99.6094,99.6094,2728290,428910,13.5851,1.636162,4.438045,4.555608,4.554816,0.018918,0.974194,-0.117563,225.324433,219.509645,0.371472,0.201745,-0.169727,-45.6903,0.521112,0.315553,ok,
model.21.cv2,256,even,256,256,0.0,0.0,3157200,0,0.0,0.0,4.438045,4.653582,4.646912,0.044,0.953684,-0.215537,225.324433,214.888226,0.371472,0.371479,6e-06,0.0017,0.521112,0.521155,ok,
model.21.cv2,256,even,230,230,10.1562,10.1562,3113468,43732,1.3852,0.166824,4.438045,4.707523,4.560896,0.180739,0.942756,-0.269478,225.324433,212.425938,0.371472,0.369267,-0.002206,-0.5937,0.521112,0.519864,ok,
model.21.cv2,256,even,205,204,19.9219,20.3125,3069736,87464,2.7703,0.333649,4.438045,4.414111,4.421136,0.080329,1.005422,0.023934,225.324433,226.546197,0.371472,0.365268,-0.006204,-1.6702,0.521112,0.517176,ok,
