target,target_channels_before,parity_mode,requested_keep,actual_keep,prune_pct_requested,prune_pct_actual,params_after,saved_params,saved_params_pct,saved_mb,base_lat_mean_ms,lat_mean_ms,lat_median_ms,lat_std_ms,speedup_ratio,lat_delta_ms,base_fps_mean,fps_mean,status,error
model.0,16,any,16,16,0.0,0.0,3157200,0,0.0,0.0,4.407426657676697,4.775013,4.740496,0.120713,0.923019,-0.367586,226.88976531424203,209.423508,ok,
model.0,16,any,14,14,12.5,12.5,3156566,634,0.0201,0.002419,4.407426657676697,4.595363,4.710048,0.165026,0.959103,-0.187937,226.88976531424203,217.610656,ok,
model.0,16,any,13,13,18.75,18.75,3156249,951,0.0301,0.003628,4.407426657676697,4.430475,4.41264,0.043417,0.994798,-0.023048,226.88976531424203,225.70945,ok,
model.0,16,any,11,11,31.25,31.25,3155615,1585,0.0502,0.006046,4.407426657676697,4.454996,4.43032,0.051875,0.989322,-0.047569,226.88976531424203,224.467117,ok,
model.0,16,any,10,10,37.5,37.5,3155298,1902,0.0602,0.007256,4.407426657676697,4.414571,4.407728,0.025018,0.998382,-0.007145,226.88976531424203,226.522561,ok,
model.0,16,any,8,8,50.0,50.0,3154664,2536,0.0803,0.009674,4.407426657676697,4.41784,4.396576,0.044704,0.997643,-0.010413,226.88976531424203,226.354966,ok,
model.0,16,any,6,6,62.5,62.5,3154030,3170,0.1004,0.012093,4.407426657676697,4.442833,4.424768,0.042425,0.992031,-0.035406,226.88976531424203,225.081612,ok,
model.0,16,any,5,5,68.75,68.75,3153713,3487,0.1104,0.013302,4.407426657676697,4.404882,4.4032,0.014406,1.000578,0.002544,226.88976531424203,227.020815,ok,
model.0,16,any,3,3,81.25,81.25,3153079,4121,0.1305,0.01572,4.407426657676697,4.445058,4.415456,0.063376,0.991534,-0.037631,226.88976531424203,224.968942,ok,
model.0,16,any,2,2,87.5,87.5,3152762,4438,0.1406,0.01693,4.407426657676697,4.426331,4.406208,0.046,0.995729,-0.018905,226.88976531424203,225.92073,ok,
