raw_target,target_norm,status,error,block_targets,c2f_hidden_targets,c2f_bn_cv1_targets,c2f_bn_cv2_targets,sppf_hidden_targets,changed_paths,base_params,pruned_params_preft,postft_params,base_mb,saved_mb_preft,saved_mb_postft,base_map50_95,preft_map50_95,postft_map50_95,base_map50,preft_map50,postft_map50,base_lat_ms,preft_lat_ms,postft_lat_ms,base_fps,preft_fps,postft_fps,train_box_loss_last,train_cls_loss_last,train_dfl_loss_last,run_dir
model.0.conv,model.0,ok_preft_only,,0,,,,,model.0,3151904,3156566,3156566,12.0235595703125,-0.01778411865234375,-0.01778411865234375,0.3714722735825037,0.3550628003131952,0.3550628003131952,0.5211115330751224,0.49934146897334164,0.49934146897334164,1.6563114899676294,1.635115900496021,1.635115900496021,603.7511700287388,611.5774421229986,611.5774421229986,,,,
model.1.conv,model.1,ok_preft_only,,1,,,,,model.1,3151904,3156666,3156666,12.0235595703125,-0.01816558837890625,-0.01816558837890625,0.3714722735825037,0.28358197207960945,0.28358197207960945,0.5211115330751224,0.4066633201162828,0.4066633201162828,1.6563114899676294,1.5563131572213023,1.5563131572213023,603.7511700287388,642.5442047829475,642.5442047829475,,,,
model.2.cv1.conv,model.2.cv1,ok_preft_only,,,2,,,,model.2.cv1,3151904,3155784,3155784,12.0235595703125,-0.014801025390625,-0.014801025390625,0.3714722735825037,0.01152339862910287,0.01152339862910287,0.5211115330751224,0.020447590473840593,0.020447590473840593,1.6563114899676294,1.537921797623858,1.537921797623858,603.7511700287388,650.2281205357999,650.2281205357999,,,,
model.2.cv2.conv,model.2.cv2,ok_preft_only,,2,,,,,model.2,3151904,3155322,3155322,12.0235595703125,-0.01303863525390625,-0.01303863525390625,0.3714722735825037,0.35648873099641065,0.35648873099641065,0.5211115330751224,0.5017041549462988,0.5017041549462988,1.6563114899676294,1.5773798002395778,1.5773798002395778,603.7511700287388,633.9627272062927,633.9627272062927,,,,
model.2.m.0.cv1.conv,model.2.m.0.cv1,ok_preft_only,,,,2.0,,,model.2.m.0.cv1,3151904,3156620,3156620,12.0235595703125,-0.0179901123046875,-0.0179901123046875,0.3714722735825037,0.36351054528074656,0.36351054528074656,0.5211115330751224,0.5115341655896287,0.5115341655896287,1.6563114899676294,1.5601454741321503,1.5601454741321503,603.7511700287388,640.9658692605329,640.9658692605329,,,,
model.2.m.0.cv2.conv,model.2.m.0.cv2,ok_preft_only,,,,,2.0,,model.2.m.0.cv2,3151904,3156844,3156844,12.0235595703125,-0.0188446044921875,-0.0188446044921875,0.3714722735825037,0.11381448611859091,0.11381448611859091,0.5211115330751224,0.17120051731973734,0.17120051731973734,1.6563114899676294,1.550751138338819,1.550751138338819,603.7511700287388,644.8487931282194,644.8487931282194,,,,
model.3.conv,model.3,ok_preft_only,,3,,,,,model.3,3151904,3155076,3155076,12.0235595703125,-0.0121002197265625,-0.0121002197265625,0.3714722735825037,0.36542553497013336,0.36542553497013336,0.5211115330751224,0.5148200798968491,0.5148200798968491,1.6563114899676294,1.5557950153946878,1.5557950153946878,603.7511700287388,642.7581976448943,642.7581976448943,,,,
model.4.cv1.conv,model.4.cv1,ok_preft_only,,,4,,,,model.4.cv1,3151904,3149424,3149424,12.0235595703125,0.00946044921875,0.00946044921875,0.3714722735825037,0.3068391577427625,0.3068391577427625,0.5211115330751224,0.4379802184944516,0.4379802184944516,1.6563114899676294,1.5481401364784688,1.5481401364784688,603.7511700287388,645.9363570759718,645.9363570759718,,,,
model.4.cv2.conv,model.4.cv2,ok_preft_only,,4,,,,,model.4,3151904,3149124,3149124,12.0235595703125,0.0106048583984375,0.0106048583984375,0.3714722735825037,0.3589883340254969,0.3589883340254969,0.5211115330751224,0.5038703194557864,0.5038703194557864,1.6563114899676294,1.556435838341713,1.556435838341713,603.7511700287388,642.4935582731368,642.4935582731368,,,,
model.4.m.0.cv1.conv,model.4.m.0.cv1,ok_preft_only,,,,4.0,,,model.4.m.0.cv1,3151904,3155466,3155466,12.0235595703125,-0.01358795166015625,-0.01358795166015625,0.3714722735825037,0.3652392744327109,0.3652392744327109,0.5211115330751224,0.5133242545361008,0.5133242545361008,1.6563114899676294,1.5586353376507758,1.5586353376507758,603.7511700287388,641.5868906881269,641.5868906881269,,,,
