Generating SQLite file ./profiling/trt_fp32_profile_16032026_v1.sqlite from ./profiling/trt_fp32_profile_16032026_v1.nsys-rep
Processing [./profiling/trt_fp32_profile_16032026_v1.sqlite] with [/opt/nvidia/nsight-systems/2024.5.4/host-linux-armv8/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)    Style                                                   Range                                                
 --------  ---------------  ---------  ------------  ------------  ----------  -----------  ------------  --------  ----------------------------------------------------------------------------------------------------
     39,0      189 169 568          3  63 056 522,0  12 758 688,0  12 430 912  163 979 968  87 402 421,0  PushPop   TensorRT:ExecutionContext::enqueue                                                                  
     15,0       71 813 920          3  23 937 973,0     323 008,0     248 224   71 242 688  40 967 101,0  PushPop   TensorRT:Reformatting CopyNode for Input Tensor 0 to /model.0/conv/Conv                             
     10,0       50 120 128         63     795 557,0     716 672,0     553 408    3 721 536     403 914,0  StartEnd  :myelinGraphDeserializeBinary                                                                       
      8,0       38 323 840         63     608 314,0     479 360,0     357 408    2 574 016     407 124,0  StartEnd  myelin-exec:myelinGraphLoadPersistent                                                               
      6,0       32 195 520          3  10 731 840,0     109 344,0      98 656   31 987 520  18 407 959,0  PushPop   TensorRT:/model.2/Split_output_0 copy                                                               
      6,0       29 107 520          3   9 702 506,0      79 424,0      68 160   28 959 936  16 677 424,0  PushPop   TensorRT:Reformatting CopyNode for Output Tensor 0 to PWN(PWN(/model.9/cv1/act/Sigmoid), PWN(/model…
      2,0        9 841 056          3   3 280 352,0      54 624,0      51 264    9 735 168   5 590 034,0  PushPop   TensorRT:Reformatting CopyNode for Output Tensor 0 to PWN(/model.22/Sigmoid)                        
      1,0        8 133 536         63     129 103,0      72 992,0      54 592    2 595 584     324 021,0  StartEnd  myelin-exec:myelinGraphUnloadPersistent                                                             
      1,0        7 636 800        189      40 406,0      39 584,0      23 520       93 856      11 085,0  StartEnd  myelin-exec:myelinGraphExecute                                                                      
      0,0          852 128        189       4 508,0       4 320,0       2 880       30 720       2 035,0  StartEnd  myelin-exec:myelinTensorGetMemory                                                                   
      0,0          842 112        189       4 455,0       4 512,0       1 440        6 560         796,0  StartEnd  myelin-exec:myelinGraphUnload                                                                       
      0,0          407 904        189       2 158,0       2 112,0       1 056        4 768         534,0  StartEnd  myelin-exec:myelinTensorGetInputMemoryBatch                                                         
      0,0          388 832          3     129 610,0      90 688,0      90 464      207 680      67 610,0  PushPop   TensorRT:/model.4/Split_output_0 copy                                                               
      0,0          384 640          3     128 213,0     121 536,0     117 408      145 696      15 280,0  PushPop   TensorRT:PWN(PWN(/model.0/act/Sigmoid), PWN(/model.0/act/Mul))                                      
      0,0          370 112        189       1 958,0       1 824,0         960       26 432       1 834,0  StartEnd  myelin-exec:myelinTensorGetOutputMemoryBatch                                                        
