name,type,params_total_b,params_weight_b,params_bias_b,in_act_b,out_act_b,flops,out_shapes
model.0.conv,Conv2d,1728,1728,0,4915200,6553600,88473600,"(1, 16, 320, 320) float32"
model.0.bn,BatchNorm2d,128,64,64,6553600,6553600,0,"(1, 16, 320, 320) float32"
model.0.act,SiLU,0,0,0,6553600,6553600,0,"(1, 16, 320, 320) float32"
model.1.conv,Conv2d,18432,18432,0,6553600,3276800,235929600,"(1, 32, 160, 160) float32"
model.1.bn,BatchNorm2d,256,128,128,3276800,3276800,0,"(1, 32, 160, 160) float32"
model.0.act,SiLU,0,0,0,3276800,3276800,0,"(1, 32, 160, 160) float32"
model.2.cv1.conv,Conv2d,4096,4096,0,3276800,3276800,52428800,"(1, 32, 160, 160) float32"
model.2.cv1.bn,BatchNorm2d,256,128,128,3276800,3276800,0,"(1, 32, 160, 160) float32"
model.0.act,SiLU,0,0,0,3276800,3276800,0,"(1, 32, 160, 160) float32"
model.2.m.0.cv1.conv,Conv2d,9216,9216,0,1638400,1638400,117964800,"(1, 16, 160, 160) float32"
model.2.m.0.cv1.bn,BatchNorm2d,128,64,64,1638400,1638400,0,"(1, 16, 160, 160) float32"
model.0.act,SiLU,0,0,0,1638400,1638400,0,"(1, 16, 160, 160) float32"
model.2.m.0.cv2.conv,Conv2d,9216,9216,0,1638400,1638400,117964800,"(1, 16, 160, 160) float32"
model.2.m.0.cv2.bn,BatchNorm2d,128,64,64,1638400,1638400,0,"(1, 16, 160, 160) float32"
model.0.act,SiLU,0,0,0,1638400,1638400,0,"(1, 16, 160, 160) float32"
model.2.cv2.conv,Conv2d,6144,6144,0,4915200,3276800,78643200,"(1, 32, 160, 160) float32"
model.2.cv2.bn,BatchNorm2d,256,128,128,3276800,3276800,0,"(1, 32, 160, 160) float32"
model.0.act,SiLU,0,0,0,3276800,3276800,0,"(1, 32, 160, 160) float32"
model.3.conv,Conv2d,73728,73728,0,3276800,1638400,235929600,"(1, 64, 80, 80) float32"
model.3.bn,BatchNorm2d,512,256,256,1638400,1638400,0,"(1, 64, 80, 80) float32"
model.0.act,SiLU,0,0,0,1638400,1638400,0,"(1, 64, 80, 80) float32"
model.4.cv1.conv,Conv2d,16384,16384,0,1638400,1638400,52428800,"(1, 64, 80, 80) float32"
model.4.cv1.bn,BatchNorm2d,512,256,256,1638400,1638400,0,"(1, 64, 80, 80) float32"
model.0.act,SiLU,0,0,0,1638400,1638400,0,"(1, 64, 80, 80) float32"
model.4.m.0.cv1.conv,Conv2d,36864,36864,0,819200,819200,117964800,"(1, 32, 80, 80) float32"
model.4.m.0.cv1.bn,BatchNorm2d,256,128,128,819200,819200,0,"(1, 32, 80, 80) float32"
model.0.act,SiLU,0,0,0,819200,819200,0,"(1, 32, 80, 80) float32"
model.4.m.0.cv2.conv,Conv2d,36864,36864,0,819200,819200,117964800,"(1, 32, 80, 80) float32"
model.4.m.0.cv2.bn,BatchNorm2d,256,128,128,819200,819200,0,"(1, 32, 80, 80) float32"
model.0.act,SiLU,0,0,0,819200,819200,0,"(1, 32, 80, 80) float32"
model.4.m.1.cv1.conv,Conv2d,36864,36864,0,819200,819200,117964800,"(1, 32, 80, 80) float32"
model.4.m.1.cv1.bn,BatchNorm2d,256,128,128,819200,819200,0,"(1, 32, 80, 80) float32"
model.0.act,SiLU,0,0,0,819200,819200,0,"(1, 32, 80, 80) float32"
model.4.m.1.cv2.conv,Conv2d,36864,36864,0,819200,819200,117964800,"(1, 32, 80, 80) float32"
model.4.m.1.cv2.bn,BatchNorm2d,256,128,128,819200,819200,0,"(1, 32, 80, 80) float32"
model.0.act,SiLU,0,0,0,819200,819200,0,"(1, 32, 80, 80) float32"
model.4.cv2.conv,Conv2d,32768,32768,0,3276800,1638400,104857600,"(1, 64, 80, 80) float32"
model.4.cv2.bn,BatchNorm2d,512,256,256,1638400,1638400,0,"(1, 64, 80, 80) float32"
model.0.act,SiLU,0,0,0,1638400,1638400,0,"(1, 64, 80, 80) float32"
model.5.conv,Conv2d,294912,294912,0,1638400,819200,235929600,"(1, 128, 40, 40) float32"
model.5.bn,BatchNorm2d,1024,512,512,819200,819200,0,"(1, 128, 40, 40) float32"
model.0.act,SiLU,0,0,0,819200,819200,0,"(1, 128, 40, 40) float32"
model.6.cv1.conv,Conv2d,65536,65536,0,819200,819200,52428800,"(1, 128, 40, 40) float32"
model.6.cv1.bn,BatchNorm2d,1024,512,512,819200,819200,0,"(1, 128, 40, 40) float32"
model.0.act,SiLU,0,0,0,819200,819200,0,"(1, 128, 40, 40) float32"
model.6.m.0.cv1.conv,Conv2d,147456,147456,0,409600,409600,117964800,"(1, 64, 40, 40) float32"
model.6.m.0.cv1.bn,BatchNorm2d,512,256,256,409600,409600,0,"(1, 64, 40, 40) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 64, 40, 40) float32"
model.6.m.0.cv2.conv,Conv2d,147456,147456,0,409600,409600,117964800,"(1, 64, 40, 40) float32"
model.6.m.0.cv2.bn,BatchNorm2d,512,256,256,409600,409600,0,"(1, 64, 40, 40) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 64, 40, 40) float32"
model.6.m.1.cv1.conv,Conv2d,147456,147456,0,409600,409600,117964800,"(1, 64, 40, 40) float32"
model.6.m.1.cv1.bn,BatchNorm2d,512,256,256,409600,409600,0,"(1, 64, 40, 40) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 64, 40, 40) float32"
model.6.m.1.cv2.conv,Conv2d,147456,147456,0,409600,409600,117964800,"(1, 64, 40, 40) float32"
model.6.m.1.cv2.bn,BatchNorm2d,512,256,256,409600,409600,0,"(1, 64, 40, 40) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 64, 40, 40) float32"
model.6.cv2.conv,Conv2d,131072,131072,0,1638400,819200,104857600,"(1, 128, 40, 40) float32"
model.6.cv2.bn,BatchNorm2d,1024,512,512,819200,819200,0,"(1, 128, 40, 40) float32"
model.0.act,SiLU,0,0,0,819200,819200,0,"(1, 128, 40, 40) float32"
model.7.conv,Conv2d,1179648,1179648,0,819200,409600,235929600,"(1, 256, 20, 20) float32"
model.7.bn,BatchNorm2d,2048,1024,1024,409600,409600,0,"(1, 256, 20, 20) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 256, 20, 20) float32"
model.8.cv1.conv,Conv2d,262144,262144,0,409600,409600,52428800,"(1, 256, 20, 20) float32"
model.8.cv1.bn,BatchNorm2d,2048,1024,1024,409600,409600,0,"(1, 256, 20, 20) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 256, 20, 20) float32"
model.8.m.0.cv1.conv,Conv2d,589824,589824,0,204800,204800,117964800,"(1, 128, 20, 20) float32"
model.8.m.0.cv1.bn,BatchNorm2d,1024,512,512,204800,204800,0,"(1, 128, 20, 20) float32"
model.0.act,SiLU,0,0,0,204800,204800,0,"(1, 128, 20, 20) float32"
model.8.m.0.cv2.conv,Conv2d,589824,589824,0,204800,204800,117964800,"(1, 128, 20, 20) float32"
model.8.m.0.cv2.bn,BatchNorm2d,1024,512,512,204800,204800,0,"(1, 128, 20, 20) float32"
model.0.act,SiLU,0,0,0,204800,204800,0,"(1, 128, 20, 20) float32"
model.8.cv2.conv,Conv2d,393216,393216,0,614400,409600,78643200,"(1, 256, 20, 20) float32"
model.8.cv2.bn,BatchNorm2d,2048,1024,1024,409600,409600,0,"(1, 256, 20, 20) float32"
model.0.act,SiLU,0,0,0,409600,409600,0,"(1, 256, 20, 20) float32"
model.9.cv1.conv,Conv2d,131072,131072,0,409600,204800,26214400,"(1, 128, 20, 20) float32"
model.9.cv1.bn,BatchNorm2d,1024,512,512,204800,204800,0,"(1, 128, 20, 20) float32"
model.0.act,SiLU,0,0,0,204800,204800,0,"(1, 128, 20, 20) float32"
model.9.m,MaxPool2d,0,0,0,204800,204800,0,"(1, 128, 20, 20) float32"
model.9.m,MaxPool2d,0,0,0,204800,204800,0,"(1, 128, 20, 20) float32"
model.9.m,MaxPool2d,0,0,0,204800,204800,0,"(1, 128, 20, 20) float32"
model.9.cv2.conv,Conv2d,524288,524288,0,819200,409600,104857600,"(1, 256, 20, 20) float32"
